county,white_hispanic,black_african_american_hispanic,american_indian_alaska_native_hispanic,asian_hispanic,native_hawaiian_pacific_islander_hispanic,some_other_race_hispanic,two_or_more_races_hispanic
Cook,433000,18600,27700,4050,1320,531000,337000
DuPage,51400,1430,2440,380,177,39800,42220
