county,white_alone,black_african_american_alone,american_indian_alaska_native_alone,asian_alone,native_hawaiian_pacific_islander_alone,some_other_race_alone,two_or_more_races,hispanic_latino
Cook,161216,110938,544,39441,123,2099,14936,160266
DuPage,43550,4968,76,9317,39,310,3174,17391
